model,seq_len,mae,rmse,mape,test_r2,train_r2,gap,train_time_sec
GRU,20,34.64,47.95,1.07,0.9934,0.9962,0.0028,744.5
LSTM,20,49.04,66.05,1.51,0.9874,0.9933,0.0059,690.3
Linear,20,29.18177604675293,41.38301086425781,0.912613034248352,0.995062747877456,0.9973159432411194,0.0022531953636634183,0.0032370999979320914
Ridge,20,49.591552734375,66.69276428222656,1.5444984436035156,0.9871767374602808,0.9940190315246582,0.006842294064377419,0.0020487999863689765
SVR,20,38.298613975513746,56.067600735569755,1.1812491152251616,0.9909371441588446,0.9981569061046978,0.007219761945853165,0.5653374999965308
GRU,30,35.81,49.63,1.1,0.9927,0.9961,0.0034,343.4
LSTM,30,41.19,57.22,1.26,0.9903,0.9958,0.0055,870.8
Linear,30,29.57828712463379,41.722164154052734,0.9175031185150146,0.9948681226794824,0.997323215007782,0.0024550923282995463,0.0018271000008098781
Ridge,30,54.31370544433594,73.06233978271484,1.6808360815048218,0.9842627158725041,0.9939586520195007,0.009695936146996598,0.0015937999996822327
SVR,30,41.885232935483565,64.04936178145091,1.2801403010442238,0.987905937856742,0.998217130480021,0.010311192623279064,0.887848500002292
GRU,50,35.79,50.12,1.08,0.9922,0.9963,0.0041,567.5
LSTM,50,40.89,58.64,1.24,0.9894,0.9958,0.0064,1155.0
Linear,50,30.109460830688477,42.38978958129883,0.9234859347343445,0.9944464442102199,0.997279703617096,0.0028332594068760653,0.002355299991904758
Ridge,50,59.12284469604492,75.36090850830078,1.8181555271148682,0.9824474214812351,0.9941737651824951,0.011726343701260022,0.0015420999989146367
SVR,50,42.67123691670595,65.05750290823785,1.2903488289959266,0.9869189259435562,0.9981399702517806,0.011221044308224348,1.1319944999995641
