model,scheme,seq_len,mae,rmse,mape,test_r2,train_r2,gap,train_time_sec,best_epoch
GRU,C-全部(11维),20,34.64,47.95,1.07,0.9934,0.9962,0.0028,744.5,
GRU,C-全部(11维),30,35.81,49.63,1.1,0.9927,0.9961,0.0034,343.4,
GRU,C-全部(11维),50,35.79,50.12,1.08,0.9922,0.9963,0.0041,567.5,
GRU,C-全部(11维),60,37.799156188964844,52.47840881347656,1.1356257200241089,0.9912570714950562,0.9959535002708435,0.0046964287757873535,2070.8188204999897,183.0
GRU,C-全部(11维),70,43.468509674072266,60.83863830566406,1.2729467153549194,0.9879157543182373,0.995561420917511,0.007645666599273682,1673.8431339999952,198.0
GRU,C-全部(11维),90,44.029212951660156,61.13589096069336,1.2930607795715332,0.9871956706047058,0.9959290027618408,0.00873333215713501,3552.0279411000083,192.0
LSTM,C-全部(11维),20,49.04,66.05,1.51,0.9874,0.9933,0.0059,690.3,
LSTM,C-全部(11维),30,41.19,57.22,1.26,0.9903,0.9958,0.0055,870.8,
LSTM,C-全部(11维),50,40.89,58.64,1.24,0.9894,0.9958,0.0064,1155.0,
LSTM,C-全部(11维),60,53.03,72.78,1.57,0.9832,0.9948,0.0116,1263.5,
LSTM,C-全部(11维),70,114.74886322021484,146.68014526367188,3.4000954627990723,0.9297569990158081,0.9768576622009277,0.04710066318511963,661.9620799999975,55.0
LSTM,C-全部(11维),90,135.32537841796875,171.3207550048828,3.9585530757904053,0.8994495272636414,0.9766132831573486,0.07716375589370728,489.7752831999969,39.0
Linear,C-全部(11维),20,29.18177604675293,41.38301086425781,0.912613034248352,0.9950627684593201,0.9973159432411194,0.0022531747817993164,0.0036721000069519505,
